Epoch number,Elapsed Time
0,17.9064
1,17.8816
2,17.9719
3,17.7833
4,17.8977
5,17.9388
6,17.8280
7,17.8602
8,18.0011
9,17.9742
10,17.9930
11,18.0481
12,18.0339
13,18.0330
14,18.1047
15,18.0440
16,18.0598
17,18.0890
18,18.0182
19,18.0414
20,18.0797
21,18.2099
22,18.0846
23,18.0643
24,18.0440
25,18.0833
26,18.0514
27,18.0343
28,18.0605
29,18.0474
30,18.0239
31,18.0449
32,18.0485
33,18.0491
34,18.0739
35,17.9953
36,18.0173
37,18.0065
38,18.0379
39,18.0584
40,17.9833
41,18.0326
42,18.0648
43,18.0176
44,18.0119
45,17.9893
46,18.0137
47,17.9992
48,18.0619
49,18.0380
50,18.0319
51,18.0331
52,18.0143
53,18.0193
54,18.0817
55,18.0689
56,18.0656
57,18.0503
58,18.0119
59,18.0385
60,18.1127
61,18.0391
62,17.9873
63,18.0616
64,18.0516
65,18.1103
66,18.0407
67,18.0412
68,18.0339
69,17.9771
70,17.9040
71,17.8972
72,17.8346
73,17.8025
74,17.7823
75,17.9535
76,17.9215
77,17.9593
78,17.7864
79,17.8949
80,17.9380
81,17.8714
82,17.9894
83,17.9970
84,17.8759
85,17.9940
86,17.9312
87,17.8717
88,17.9691
89,17.9535
90,17.8906
91,17.9579
92,17.9917
93,17.8429
94,17.9648
95,17.9191
96,17.8453
97,17.8494
98,17.9356
99,17.8685
