Epoch number,Elapsed Time
0,64.3767
1,64.2257
2,64.0847
3,63.9565
4,63.7842
5,63.8700
6,63.8225
7,63.7538
8,63.6746
9,63.6671
10,63.7305
11,63.7082
12,64.1483
13,64.0681
14,64.0824
15,64.0640
16,64.1320
17,64.2207
18,64.1346
19,64.1093
20,64.1756
21,64.1352
22,64.1437
23,64.0415
24,64.0543
25,64.1535
26,64.1739
27,90.3871
28,63.9057
29,64.0365
30,63.9781
31,63.9691
32,64.0500
33,63.9687
34,64.0597
35,63.9856
36,64.0421
37,64.0191
38,63.9552
39,64.0332
40,63.9834
41,63.9334
42,64.0206
43,64.0126
44,63.9488
45,64.0173
46,63.8867
47,63.8768
48,63.9986
49,63.9906
50,63.9289
51,63.8738
52,63.8481
53,63.9395
54,63.9523
55,63.9082
56,63.8738
57,63.8197
58,63.9539
59,63.9445
60,63.9573
61,63.9394
62,63.8795
63,64.0234
64,63.9868
65,63.8505
66,64.0494
67,63.6521
68,63.8539
69,63.5855
70,63.9467
71,63.9704
72,63.8678
73,64.0140
74,63.9644
75,63.9359
76,63.8644
77,63.8462
78,63.9728
79,64.0215
80,63.9212
81,63.8822
82,63.9399
83,63.9824
84,63.8032
85,63.8180
86,63.8669
87,63.9805
88,63.9011
89,63.8685
90,63.9893
91,63.8443
92,63.5791
93,63.6653
94,63.5312
95,63.6257
96,63.6926
97,63.7275
98,63.7837
99,63.9067
