Epoch number,Elapsed Time
0,18.0458
1,17.9794
2,17.9780
3,18.0428
4,18.0851
5,18.0487
6,18.0640
7,18.0467
8,18.0569
9,18.0560
10,18.0802
11,17.9456
12,18.0705
13,18.0507
14,18.0659
15,18.0299
16,18.0703
17,18.0503
18,18.0649
19,17.8792
20,18.0775
21,18.0821
22,18.0741
23,18.0653
24,18.0782
25,18.0479
26,18.0770
27,18.0389
28,17.9744
29,18.0462
30,18.0657
31,18.0466
32,18.0654
33,18.0502
34,18.0699
35,18.0377
36,17.8757
37,18.0513
38,18.0687
39,18.0525
40,18.0693
41,18.0587
42,18.0726
43,18.0474
44,18.0353
45,17.9826
46,18.0642
47,18.0412
48,18.0621
49,18.0506
50,18.0576
51,18.0494
52,18.0735
53,17.8440
54,18.0806
55,18.0621
56,18.0702
57,18.0575
58,18.0824
59,18.0548
60,18.0812
61,18.0005
62,18.0341
63,18.0907
64,18.0799
65,18.0591
66,18.0767
67,18.0399
68,18.0733
69,18.0325
70,17.9276
71,17.9795
72,18.0728
73,18.0486
74,18.0884
75,18.0674
76,18.0732
77,18.0439
78,17.9969
79,18.0300
80,18.0887
81,18.0557
82,18.0824
83,18.0464
84,18.0624
85,18.0398
86,18.0625
87,17.9684
88,17.9452
89,18.0345
90,18.0642
91,18.0576
92,18.0664
93,18.0541
94,18.0248
95,17.9273
96,18.0233
97,18.0464
98,18.0724
99,18.0517
