Epoch number,Elapsed Time
0,17.6862
1,17.6794
2,17.7017
3,17.6871
4,17.6938
5,17.6645
6,17.6661
7,17.6894
8,17.6785
9,17.6793
10,17.6770
11,17.6844
12,17.6318
13,17.5511
14,17.6828
15,17.6921
16,17.6695
17,17.6883
18,17.6656
19,17.6789
20,17.6683
21,17.6622
22,17.7037
23,17.6976
24,17.7049
25,17.6650
26,17.6863
27,17.6676
28,17.6912
29,17.6209
30,17.6517
31,17.5852
32,17.6776
33,17.6963
34,17.6794
35,17.6744
36,17.6832
37,17.6737
38,17.6913
39,17.6899
40,17.6785
41,17.6805
42,17.7034
43,17.6669
44,17.6834
45,17.6916
46,17.6034
47,17.6892
48,17.5406
49,17.6725
50,17.7112
51,17.6690
52,17.6872
53,17.7044
54,17.6777
55,17.6858
56,17.7109
57,17.7058
58,17.6859
59,17.6618
60,17.6933
61,17.6938
62,17.6638
63,17.6279
64,17.6589
65,17.6645
66,17.5496
67,17.6742
68,17.6863
69,17.6712
70,17.7334
71,17.6967
72,17.7008
73,17.6848
74,17.6881
75,17.6807
76,17.6919
77,17.7092
78,17.6669
79,17.7050
80,17.6902
81,17.6224
82,17.6835
83,17.5586
84,17.6701
85,17.7164
86,17.6914
87,17.6804
88,17.7123
89,17.6822
90,17.7050
91,17.7024
92,17.6973
93,17.6968
94,17.6916
95,17.6841
96,17.6842
97,17.7111
98,17.6212
99,17.6761
