Epoch number,Elapsed Time
0,8.9357
1,8.8926
2,8.9211
3,8.8929
4,8.9330
5,8.9115
6,8.9467
7,8.9177
8,8.9382
9,8.8706
10,8.9112
11,8.9018
12,8.9296
13,8.9047
14,8.9229
15,8.9048
16,8.9347
17,8.9045
18,8.9150
19,8.8924
20,8.9342
21,8.9090
22,8.9299
23,8.8899
24,8.9257
25,8.9611
26,8.9109
27,8.8893
28,8.8856
29,8.7782
30,8.9104
31,8.8941
32,8.9389
33,8.9065
34,8.8824
35,8.8364
36,8.8211
37,8.7888
38,8.8293
39,8.8579
40,8.8749
41,8.9941
42,8.8621
43,8.8901
44,8.8624
45,8.9038
46,8.9327
47,8.9152
48,8.9396
49,8.9165
50,8.9388
51,8.9054
52,8.9252
53,8.9129
54,8.9295
55,8.9101
56,8.9175
57,8.9034
58,8.9162
59,8.9120
60,8.9278
61,8.8893
62,8.9084
63,8.8528
64,8.8100
65,8.9069
66,8.9247
67,8.9050
68,8.9150
69,8.8984
70,9.0137
71,8.9180
72,8.9288
73,8.9108
74,8.9485
75,8.9262
76,8.9366
77,8.9146
78,8.8735
79,8.9221
80,8.9278
81,8.9093
82,8.9430
83,8.9151
84,8.9279
85,8.9104
86,8.9335
87,8.9202
88,8.9285
89,8.9267
90,8.9317
91,8.9130
92,8.9539
93,8.8449
94,8.8434
95,8.8238
96,8.8265
97,8.8201
98,8.8061
99,8.7687
