Epoch number,Elapsed Time
0,17.3097
1,17.3194
2,17.3099
3,17.3284
4,17.2765
5,17.3385
6,17.3379
7,17.3484
8,17.3389
9,17.2880
10,17.2167
11,17.3402
12,17.3420
13,17.3135
14,17.3400
15,17.3093
16,17.3262
17,17.3437
18,17.3413
19,17.3443
20,17.3357
21,17.3145
22,17.2818
23,17.3214
24,17.3538
25,17.3470
26,17.3437
27,17.2797
28,17.2421
29,17.3811
30,17.3414
31,17.3578
32,17.3472
33,17.3470
34,17.3288
35,17.3488
36,17.3370
37,17.3228
38,17.3237
39,17.2657
40,17.3408
41,17.3285
42,17.3464
43,17.3338
44,17.3226
45,17.2701
46,17.2500
47,17.3436
48,17.3170
49,17.3564
50,17.3206
51,17.3204
52,17.3550
53,17.3408
54,17.3206
55,17.3547
56,17.3349
57,17.2631
58,17.3265
59,17.3409
60,17.3339
61,17.3283
62,17.3310
63,17.2473
64,17.2866
65,17.3307
66,17.3430
67,17.3291
68,17.3520
69,17.3319
70,17.3409
71,17.3364
72,17.3203
73,17.3587
74,17.3154
75,17.3094
76,17.3597
77,17.3483
78,17.3416
79,17.3344
80,17.3606
81,17.2099
82,17.2935
83,17.3495
84,17.3239
85,17.3453
86,17.3435
87,17.3653
88,17.3335
89,17.3360
90,17.3426
91,17.3468
92,17.2530
93,17.3269
94,17.3364
95,17.3206
96,17.3205
97,17.3459
98,17.3250
99,17.1795
