Epoch number,Elapsed Time
0,11.5857
1,11.5940
2,11.6101
3,11.5906
4,11.5972
5,11.6025
6,11.5972
7,11.5969
8,11.6019
9,11.5440
10,11.5932
11,11.5942
12,11.5807
13,11.5948
14,11.5940
15,11.5968
16,11.5937
17,11.5922
18,11.5955
19,11.6049
20,11.6070
21,11.5988
22,11.5970
23,11.6036
24,11.5868
25,11.5964
26,11.6031
27,11.5929
28,11.6210
29,11.6137
30,11.6111
31,11.6166
32,11.6120
33,11.5981
34,11.5952
35,11.5868
36,11.5493
37,11.5870
38,11.5727
39,11.6080
40,11.5939
41,11.6138
42,11.5936
43,11.5977
44,11.5993
45,11.5924
46,11.6060
47,11.6078
48,11.5881
49,11.5878
50,11.6018
51,11.6038
52,11.6064
53,11.6028
54,11.6017
55,11.5905
56,11.5909
57,11.5999
58,11.6104
59,11.6037
60,11.5965
61,11.6064
62,11.5760
63,11.5665
64,11.5798
65,11.6019
66,11.5871
67,11.5951
68,11.6064
69,11.6295
70,11.6138
71,11.5883
72,11.5969
73,11.5949
74,11.6031
75,11.5953
76,11.6024
77,11.5897
78,11.6039
79,11.5992
80,11.6081
81,11.5959
82,11.5909
83,11.6039
84,11.6012
85,11.6017
86,11.5880
87,11.5909
88,11.5940
89,11.5626
90,11.5758
91,11.5689
92,11.5941
93,11.5936
94,11.5900
95,11.5852
96,11.5949
97,11.5775
98,11.5978
99,11.6270
