Epoch number,Elapsed Time
0,9.2259
1,9.2125
2,9.2333
3,9.2266
4,9.2426
5,9.2379
6,9.2397
7,9.2399
8,9.2445
9,9.2238
10,9.2394
11,9.2402
12,9.2413
13,9.2455
14,9.2367
15,9.1922
16,9.2468
17,9.2462
18,9.2363
19,9.2337
20,9.2352
21,9.2517
22,9.2551
23,9.2541
24,9.1665
25,9.1913
26,9.2545
27,9.2269
28,9.2482
29,9.2320
30,9.2427
31,9.1838
32,9.2094
33,9.2221
34,9.2485
35,9.2194
36,9.2273
37,9.2323
38,9.2361
39,9.2220
40,9.2345
41,9.2477
42,9.2519
43,9.2470
44,9.2350
45,9.2181
46,9.2491
47,9.2341
48,9.1736
49,9.2502
50,9.2687
51,9.2523
52,9.2331
53,9.2375
54,9.2519
55,9.2420
56,9.2762
57,9.2278
58,9.1305
59,9.2318
60,9.2448
61,9.2509
62,9.2590
63,9.2598
64,9.2502
65,9.2348
66,9.2558
67,9.2539
68,9.2539
69,9.2517
70,9.2527
71,9.2555
72,9.2540
73,9.2476
74,9.2422
75,9.2514
76,9.2573
77,9.2581
78,9.2464
79,9.2367
80,9.2643
81,9.1766
82,9.2474
83,9.2374
84,9.2470
85,9.2423
86,9.2458
87,9.2264
88,9.2427
89,9.2484
90,9.2582
91,9.1915
92,9.1761
93,9.1861
94,9.1757
95,9.1516
96,9.1465
97,9.1497
98,9.1726
99,9.2039
