Epoch number,Elapsed Time
0,13.8051
1,13.8094
2,13.7967
3,13.7982
4,13.7900
5,13.7868
6,13.7890
7,13.7960
8,13.7853
9,13.8006
10,13.7974
11,13.7830
12,13.7824
13,13.7815
14,13.7802
15,13.7629
16,13.8130
17,13.8040
18,13.7942
19,13.8054
20,13.8065
21,13.7914
22,13.8014
23,13.8191
24,13.8066
25,13.8019
26,13.8118
27,13.7757
28,13.8031
29,13.7959
30,13.7952
31,13.8002
32,13.7992
33,13.8092
34,13.8052
35,13.8396
36,13.7829
37,13.7177
38,13.8010
39,13.7897
40,13.8009
41,13.7915
42,13.7969
43,13.7947
44,13.7948
45,13.7897
46,13.8163
47,13.8191
48,13.8065
49,13.7745
50,13.8104
51,13.7919
52,13.8077
53,13.8262
54,13.7982
55,13.8148
56,13.8156
57,13.8440
58,13.8082
59,13.7928
60,13.7661
61,13.8123
62,13.8264
63,13.8140
64,13.8127
65,13.8186
66,13.7771
67,13.8142
68,13.7977
69,13.7985
70,13.8107
71,13.7776
72,13.7944
73,13.7902
74,13.8165
75,13.8013
76,13.7747
77,13.8124
78,13.7970
79,13.8111
80,13.8022
81,13.8110
82,13.7167
83,13.8015
84,13.8001
85,13.8287
86,13.8157
87,13.7994
88,13.7959
89,13.7941
90,13.7911
91,13.8018
92,13.8114
93,13.7935
94,13.7997
95,13.8126
96,13.8020
97,13.8386
98,13.8366
99,13.8417
