Epoch number,Elapsed Time
0,11.2054
1,11.2130
2,11.2348
3,11.2246
4,11.2201
5,11.2179
6,11.1788
7,11.1868
8,11.2429
9,11.2218
10,11.2627
11,11.2353
12,11.2351
13,11.2375
14,11.2404
15,11.2204
16,11.2239
17,11.2157
18,11.2151
19,11.2234
20,11.2136
21,11.2221
22,11.2373
23,11.2188
24,11.2114
25,11.2102
26,11.2075
27,11.2168
28,11.2320
29,11.2344
30,11.2279
31,11.2312
32,11.2219
33,11.2224
34,11.1307
35,11.2209
36,11.2196
37,11.2134
38,11.2205
39,11.2374
40,11.2131
41,11.2015
42,11.2170
43,11.2336
44,11.2079
45,11.2327
46,11.2267
47,11.2304
48,11.2517
49,11.2328
50,11.2331
51,11.2315
52,11.2284
53,11.2314
54,11.1577
55,11.2157
56,11.2203
57,11.2161
58,11.2051
59,11.2302
60,11.2211
61,11.1852
62,11.1217
63,11.2105
64,11.2365
65,11.2315
66,11.2233
67,11.2374
68,11.2219
69,11.2074
70,11.2514
71,11.2102
72,11.2080
73,11.2484
74,11.2787
75,11.3127
76,11.2284
77,11.2215
78,11.1912
79,11.2046
80,11.1990
81,11.1641
82,11.2172
83,11.2035
84,11.2026
85,11.2177
86,11.2028
87,11.2236
88,11.2140
89,11.1711
90,11.1548
91,11.2029
92,11.2119
93,11.2074
94,11.2056
95,11.2160
96,11.2172
97,31.7443
98,11.1556
99,11.1467
