Epoch number,Elapsed Time
0,71.4758
1,71.3524
2,71.0916
3,71.1155
4,70.9956
5,71.1650
6,70.8968
7,71.0570
8,70.9511
9,71.0708
10,70.9742
11,70.7462
12,70.8432
13,70.7719
14,70.8221
15,70.8280
16,71.0448
17,70.8971
18,70.9202
19,70.8027
20,70.7569
21,70.5190
22,70.6240
23,70.7305
24,70.5222
25,70.6730
26,70.6372
27,70.6084
28,70.4567
29,70.6295
30,70.4909
31,70.5651
32,70.5169
33,70.4579
34,70.4934
35,70.4985
36,70.5192
37,70.3349
38,70.3869
39,70.2814
40,70.2566
41,70.1891
42,70.3359
43,70.3266
44,70.3576
45,70.3688
46,70.1175
47,70.2142
48,70.2603
49,70.3120
50,70.1737
51,70.2709
52,70.2256
53,70.2779
54,70.1879
55,70.1601
56,70.1578
57,70.2106
58,70.2182
59,70.1111
60,70.1158
61,70.2135
62,70.1835
63,70.1373
64,70.1701
65,70.1723
66,70.2444
67,70.2056
68,70.0949
69,70.1405
70,70.1724
71,70.1894
72,70.0824
73,70.0780
74,70.2106
75,70.2409
76,70.1058
77,70.0548
78,70.1204
79,70.1512
80,70.1519
81,70.0380
82,70.0289
83,70.0959
84,70.1229
85,70.1968
86,69.9876
87,70.1612
88,70.1343
89,70.1092
90,70.0187
91,70.0490
92,70.0856
93,70.0203
94,69.9925
95,70.0584
96,70.0713
97,70.0724
98,70.0371
99,69.9274
