Epoch number,Elapsed Time
0,82.6174
1,82.5094
2,82.4677
3,82.1331
4,82.3230
5,82.3696
6,82.2976
7,82.2179
8,81.9841
9,81.8471
10,81.5721
11,81.6912
12,81.7251
13,81.6373
14,81.4813
15,81.6166
16,81.6674
17,81.5165
18,81.3739
19,81.4651
20,81.4591
21,81.3892
22,81.1871
23,81.2689
24,81.3208
25,81.2652
26,81.3016
27,81.3373
28,81.2599
29,81.0842
30,81.2558
31,81.2541
32,81.2604
33,81.0920
34,81.2579
35,81.1839
36,81.1505
37,80.9702
38,81.2339
39,81.1531
40,81.1803
41,81.0132
42,81.2367
43,81.1474
44,81.1673
45,81.0915
46,81.3862
47,81.2906
48,81.0490
49,81.1727
50,81.2382
51,81.1620
52,81.0308
53,81.2816
54,81.1685
55,81.0889
56,81.0668
57,81.1610
58,81.2106
59,81.2402
60,81.1693
61,81.2272
62,81.0545
63,80.9602
64,81.0525
65,81.2066
66,81.0025
67,80.9685
68,81.0716
69,81.8730
70,81.9148
71,81.4887
72,81.7836
73,81.8011
74,81.7392
75,81.5617
76,81.7658
77,81.7407
78,81.6684
79,81.5808
80,81.7705
81,81.7864
82,81.7212
83,81.6220
84,81.8459
85,81.7349
86,81.6683
87,81.6381
88,81.8766
89,81.6939
90,81.5646
91,81.7792
92,81.8702
93,81.6841
94,81.6596
95,81.8022
96,81.8685
97,81.6923
98,81.5891
99,81.7809
