Epoch number,Elapsed Time
0,31.6221
1,31.4491
2,31.6700
3,31.5771
4,31.6722
5,31.7486
6,31.5436
7,31.8404
8,31.7061
9,31.7451
10,31.6291
11,31.7105
12,32.0235
13,31.5232
14,31.6168
15,31.7134
16,31.6732
17,31.6625
18,31.5703
19,31.4244
20,31.3483
21,31.3074
22,31.4692
23,31.4198
24,31.5712
25,31.4452
26,31.6167
27,31.8318
28,31.6471
29,31.6319
30,31.7181
31,31.7500
32,31.6988
33,31.6216
34,31.5522
35,31.5555
36,31.8462
37,31.6593
38,31.5318
39,31.4150
40,31.3234
41,31.2218
42,31.0965
43,31.2404
44,31.1771
45,31.2664
46,31.2243
47,31.2548
48,31.2389
49,31.2537
50,31.2316
51,31.2260
52,31.0977
53,31.2027
54,31.1343
55,31.1923
56,31.1963
57,31.2050
58,31.2137
59,31.2107
60,31.2002
61,31.2041
62,31.0816
63,31.2165
64,31.1400
65,31.2033
66,31.1973
67,31.1904
68,31.1987
69,31.1858
70,31.2176
71,31.1752
72,31.0542
73,31.1842
74,31.1073
75,31.1761
76,31.2056
77,31.1874
78,31.2255
79,31.2575
80,31.2181
81,31.1953
82,31.0592
83,31.1832
84,31.1431
85,31.1506
86,31.1832
87,31.1850
88,31.2094
89,31.1991
90,31.1916
91,31.1948
92,31.0489
93,31.0846
94,31.1456
95,31.1471
96,31.1521
97,31.1466
98,31.1619
99,31.1528
