Epoch number,Elapsed Time
0,71.8584
1,71.6924
2,71.4507
3,71.4781
4,71.4974
5,71.3872
6,71.2049
7,71.1969
8,70.9816
9,71.0781
10,70.9394
11,70.7743
12,70.8577
13,70.9702
14,71.0753
15,70.9440
16,71.0632
17,70.8431
18,70.9516
19,70.7374
20,70.9520
21,70.8436
22,71.1523
23,71.0289
24,70.9048
25,70.7003
26,70.9558
27,70.8708
28,70.9751
29,70.8984
30,70.6165
31,70.7941
32,70.6414
33,70.8150
34,70.5669
35,70.7232
36,70.4846
37,70.9971
38,70.7977
39,70.7849
40,70.7566
41,70.6266
42,70.6099
43,70.5165
44,70.7094
45,70.6025
46,70.6719
47,70.6925
48,71.0606
49,70.6620
50,70.6882
51,70.5844
52,70.4842
53,70.4762
54,70.6553
55,70.7314
56,70.8841
57,70.6308
58,70.5936
59,71.1825
60,70.7970
61,71.0870
62,71.0183
63,70.8303
64,70.6558
65,70.5017
66,70.6112
67,70.5524
68,70.6337
69,70.4354
70,70.6025
71,70.4971
72,70.6354
73,70.5708
74,70.4909
75,70.5058
76,70.6111
77,70.5492
78,70.4749
79,70.4407
80,70.6056
81,70.5747
82,70.4260
83,70.4882
84,70.4257
85,70.2879
86,70.5965
87,70.3834
88,70.4804
89,70.4859
90,70.5777
91,69.9608
92,69.3041
93,69.3333
94,69.3772
95,69.4389
96,69.3933
97,69.3202
98,69.4242
99,69.2990
