Epoch number,Elapsed Time
0,145.3825
1,144.7819
2,144.3858
3,158.5100
4,166.1144
5,144.8544
6,144.8399
7,144.9844
8,144.8113
9,142.5213
10,142.4944
11,142.5294
12,142.4311
13,142.4548
14,142.1689
15,142.3940
16,142.1464
17,142.4156
18,142.3302
19,142.3767
20,142.4254
21,142.3254
22,142.3648
23,142.3441
24,142.3301
25,142.3582
26,142.2181
27,142.2776
28,142.2407
29,141.7776
30,142.0653
31,142.5386
32,142.3901
33,142.4245
34,142.3666
35,142.4553
36,142.3478
37,142.4103
38,142.3455
39,142.2758
40,142.2758
41,142.3006
42,142.4145
43,142.1998
44,142.1985
45,142.2222
46,142.3138
47,142.2888
48,142.2535
49,142.1511
50,142.1686
51,141.9827
52,142.0660
53,142.0975
54,141.9441
55,141.4937
56,141.9597
57,141.4700
58,141.7051
59,141.9317
60,141.9352
61,141.8352
62,141.2738
63,141.4755
64,141.3971
65,141.3971
66,141.3770
67,141.3097
68,141.3791
69,141.3148
70,141.2316
71,141.2456
72,141.3825
73,141.3034
74,141.3597
75,141.3574
76,141.3487
77,141.3723
78,141.3886
79,141.3518
80,141.4857
81,141.4534
82,141.2447
83,141.3129
84,141.1923
85,141.2581
86,141.1918
87,141.3053
88,141.4976
89,141.3783
90,141.3190
91,141.3364
92,141.3105
93,141.1580
94,141.2469
95,214.3426
96,141.1864
97,141.3110
98,141.4533
99,141.2388
