Epoch number,Elapsed Time
0,41.7274
1,41.7227
2,41.6638
3,41.7075
4,41.5973
5,41.5007
6,41.3903
7,41.4232
8,41.4694
9,41.4649
10,41.4608
11,41.3359
12,40.8840
13,40.8124
14,40.9058
15,41.3207
16,41.3765
17,41.3956
18,41.3901
19,41.3643
20,41.3058
21,41.3361
22,41.3229
23,41.3573
24,41.3566
25,41.3932
26,41.3640
27,41.3342
28,40.9822
29,41.2924
30,41.3937
31,41.3842
32,41.3875
33,41.4097
34,41.3336
35,41.3310
36,41.1958
37,41.2585
38,41.3511
39,41.3137
40,41.3241
41,41.2213
42,40.8873
43,40.6441
44,40.6968
45,40.9975
46,41.3522
47,41.3241
48,41.3261
49,41.4230
50,41.4074
51,41.0842
52,41.3251
53,41.3485
54,41.3309
55,41.3100
56,41.3013
57,41.2601
58,41.1339
59,40.8824
60,41.3098
61,41.3411
62,41.3467
63,41.2821
64,41.3749
65,41.3295
66,41.0563
67,41.3028
68,41.3192
69,41.3084
70,41.1424
71,41.1421
72,41.1293
73,40.6561
74,40.5558
75,40.6574
76,40.8171
77,41.2610
78,41.2815
79,41.2544
80,41.2127
81,40.8835
82,41.2128
83,41.2951
84,41.3046
85,41.2556
86,41.2529
87,41.2350
88,41.0680
89,41.0932
90,40.9285
91,41.2127
92,41.2721
93,41.3241
94,41.1730
95,41.1657
96,41.0082
97,41.1418
98,41.1979
99,41.1228
