Epoch number,Elapsed Time
0,158.3332
1,158.1223
2,157.7828
3,157.0397
4,157.2294
5,157.1277
6,156.9581
7,157.1943
8,156.5269
9,156.1508
10,156.3073
11,156.6608
12,156.5575
13,156.3027
14,156.0031
15,155.9030
16,155.7871
17,156.2480
18,156.2530
19,156.1887
20,155.8695
21,155.9639
22,156.0164
23,156.1264
24,156.3313
25,156.4410
26,156.2760
27,156.3947
28,156.3598
29,156.6368
30,156.1876
31,156.0768
32,155.9677
33,156.2227
34,155.9669
35,156.0438
36,155.7619
37,155.8984
38,155.7892
39,155.7442
40,155.4199
41,155.2743
42,155.0861
43,155.1443
44,155.2237
45,155.2130
46,155.1876
47,155.2703
48,155.2319
49,155.3245
50,155.1901
51,155.3466
52,155.2266
53,155.3816
54,155.3204
55,155.3215
56,155.1822
57,155.6027
58,155.5173
59,155.8563
60,155.8801
61,156.0273
62,156.1100
63,156.1051
64,156.0260
65,156.0964
66,156.0069
67,155.9834
68,155.6487
69,155.8634
70,155.7605
71,155.7319
72,155.9632
73,155.8808
74,155.8275
75,155.7836
76,155.7344
77,155.8165
78,155.7947
79,155.7829
80,155.9446
81,155.9640
82,155.9436
83,156.0000
84,155.7583
85,155.8595
86,155.8361
87,155.7991
88,155.6608
89,155.7268
90,155.6872
91,155.7478
92,155.7234
93,155.7197
94,155.5509
95,155.6276
96,155.5164
97,155.5093
98,155.0767
99,155.2412
