Epoch number,Elapsed Time
0,32.4861
1,32.5163
2,32.4203
3,32.4845
4,32.4832
5,32.3208
6,32.4658
7,32.4693
8,32.4444
9,32.4646
10,32.4350
11,32.4251
12,32.3957
13,32.4409
14,32.3490
15,32.3587
16,32.4285
17,32.4301
18,32.4537
19,32.4348
20,32.4443
21,32.3564
22,32.4307
23,32.4488
24,32.2676
25,32.4466
26,32.4293
27,32.4231
28,32.4087
29,32.4136
30,32.3368
31,32.4366
32,32.4457
33,32.4229
34,32.2617
35,32.4487
36,32.4281
37,32.4251
38,32.4192
39,32.4096
40,32.3271
41,32.4359
42,32.4151
43,32.2413
44,32.4269
45,32.4652
46,32.4287
47,32.4188
48,32.4109
49,32.3291
50,32.4227
51,32.4044
52,32.4196
53,32.2487
54,32.4243
55,32.4200
56,32.4195
57,32.4057
58,32.4178
59,32.3221
60,32.4151
61,32.4252
62,32.2851
63,32.3859
64,32.4221
65,32.4095
66,32.4123
67,32.4213
68,32.3319
69,32.4008
70,32.4135
71,32.4085
72,32.2297
73,32.3802
74,32.3886
75,32.4012
76,32.4115
77,32.3749
78,32.3346
79,32.4001
80,32.3800
81,32.3392
82,32.2774
83,32.3811
84,32.3627
85,32.3881
86,32.3898
87,32.3012
88,32.3983
89,32.4107
90,32.4018
91,32.2133
92,32.3990
93,32.3781
94,32.3911
95,32.3957
96,32.3064
97,32.4194
98,32.4146
99,32.4320
