Epoch number,Elapsed Time
0,20.7620
1,20.7774
2,20.7438
3,20.7069
4,20.8022
5,20.7273
6,20.6864
7,20.7294
8,20.7701
9,20.7138
10,20.7194
11,20.6947
12,20.6948
13,20.7108
14,20.7353
15,20.6993
16,20.7014
17,20.6951
18,20.6641
19,20.7001
20,20.7228
21,20.6941
22,20.7143
23,20.6790
24,20.7073
25,20.7114
26,20.6312
27,20.6653
28,20.6686
29,20.6638
30,20.7043
31,20.6204
32,20.6670
33,20.6293
34,20.6538
35,20.6607
36,20.6915
37,20.6727
38,20.6925
39,20.6889
40,20.6946
41,20.6526
42,20.6708
43,20.6716
44,20.6653
45,20.6596
46,20.5960
47,20.5979
48,20.5876
49,20.6413
50,20.6500
51,20.6680
52,20.6674
53,20.6455
54,20.6488
55,20.6375
56,20.6368
57,20.6394
58,20.6389
59,20.5986
60,20.6219
61,20.6110
62,20.6230
63,20.5964
64,20.6246
65,20.6354
66,20.6260
67,20.5994
68,20.6089
69,20.5924
70,20.6167
71,20.6376
72,20.6283
73,20.6229
74,20.6093
75,20.6068
76,20.5827
77,20.6216
78,20.6017
79,20.6006
80,20.6158
81,20.6313
82,20.5987
83,20.6739
84,20.6543
85,20.6117
86,20.6269
87,20.6271
88,20.5986
89,20.6503
90,20.6163
91,20.5862
92,20.5964
93,20.5471
94,20.6126
95,20.6058
96,20.6200
97,20.6128
98,20.6166
99,20.6055
