Epoch number,Elapsed Time
0,20.0568
1,19.9851
2,19.9686
3,19.9751
4,19.9794
5,19.9579
6,19.9754
7,19.9994
8,19.8869
9,19.9632
10,19.9635
11,19.9635
12,19.9593
13,19.9873
14,19.9627
15,19.8234
16,19.9656
17,19.9632
18,19.9507
19,19.9722
20,19.9514
21,19.9565
22,19.9796
23,19.9630
24,19.9104
25,19.9897
26,19.9658
27,19.9804
28,19.9742
29,19.9700
30,19.8105
31,19.9643
32,19.9737
33,19.9597
34,19.9797
35,19.9574
36,19.9404
37,19.9568
38,19.9513
39,19.8711
40,19.9792
41,19.9563
42,19.9479
43,19.9667
44,19.9250
45,19.9573
46,19.8075
47,19.9613
48,19.9614
49,19.9751
50,19.9559
51,19.9573
52,19.9625
53,19.9761
54,19.8744
55,19.9846
56,19.9564
57,19.9672
58,19.9691
59,19.9648
60,19.9483
61,19.8702
62,19.9102
63,19.9497
64,19.9779
65,19.9704
66,19.9545
67,19.9756
68,19.9661
69,19.9196
70,19.9255
71,19.9795
72,19.9481
73,19.9763
74,19.9521
75,19.9431
76,19.9679
77,19.8140
78,19.9423
79,19.9663
80,19.9710
81,19.9511
82,19.9783
83,19.9626
84,19.9415
85,19.8938
86,19.9769
87,19.9497
88,19.9727
89,19.9526
90,19.9418
91,19.9649
92,19.8836
93,19.8592
94,19.9654
95,19.9802
96,19.9513
97,19.9897
98,19.9683
99,19.9599
