Epoch number,Elapsed Time
0,8.7898
1,8.8029
2,8.8076
3,8.7908
4,8.7938
5,8.7753
6,8.7454
7,8.7279
8,8.8104
9,8.7828
10,8.7953
11,8.7935
12,8.7340
13,8.7406
14,8.8734
15,8.7586
16,8.8541
17,8.7411
18,8.7993
19,8.7922
20,8.7993
21,8.7980
22,8.7937
23,8.8031
24,8.6870
25,8.7879
26,8.8187
27,8.8171
28,8.8055
29,8.8204
30,8.8139
31,8.8029
32,8.8054
33,8.7961
34,8.8038
35,8.8079
36,8.8152
37,8.8263
38,8.8059
39,8.8046
40,8.8038
41,8.7943
42,8.7990
43,8.7989
44,8.7999
45,8.8065
46,8.8145
47,8.8277
48,8.8163
49,8.8157
50,8.8017
51,8.7901
52,8.7460
53,8.7999
54,8.8050
55,8.8178
56,8.8102
57,8.8056
58,8.8045
59,8.7689
60,8.7661
61,8.8276
62,8.8233
63,8.8199
64,8.8259
65,8.8118
66,8.8088
67,8.8161
68,8.8118
69,8.8166
70,8.8122
71,8.8298
72,8.7917
73,8.7971
74,8.7973
75,8.8056
76,8.8006
77,8.8075
78,8.7774
79,8.7663
80,8.7599
81,8.8064
82,8.7982
83,8.8103
84,8.8090
85,8.8158
86,8.7727
87,8.7671
88,8.7957
89,8.8051
90,8.7982
91,8.8018
92,8.7995
93,8.8115
94,8.7595
95,8.7429
96,8.7981
97,8.8118
98,8.8111
99,8.8138
