Epoch number,Elapsed Time
0,17.0550
1,17.0414
2,17.0544
3,17.0593
4,17.0567
5,17.0681
6,17.0662
7,17.0930
8,17.0670
9,17.0750
10,17.0664
11,16.9856
12,17.0488
13,17.0522
14,16.9134
15,17.0634
16,17.0684
17,17.0414
18,17.0465
19,17.0462
20,17.0624
21,17.0470
22,17.0667
23,17.0515
24,17.0463
25,17.0322
26,17.0790
27,17.0563
28,17.0635
29,16.9700
30,17.0776
31,17.1007
32,16.9652
33,17.0216
34,17.0680
35,33.4065
36,17.0495
37,17.0569
38,17.0553
39,17.0472
40,17.0638
41,17.0591
42,17.0396
43,17.0387
44,17.0565
45,17.0538
46,16.9892
47,17.0781
48,17.0747
49,17.1255
50,16.9586
51,17.0547
52,17.0625
53,17.0566
54,17.0644
55,17.0652
56,17.0647
57,17.0650
58,17.0588
59,17.0748
60,17.0621
61,17.0530
62,17.0723
63,17.0706
64,16.9765
65,17.0689
66,17.0762
67,17.0721
68,16.9363
69,17.0700
70,17.0604
71,17.0719
72,17.0833
73,17.0834
74,17.0675
75,17.0914
76,17.0965
77,17.0759
78,17.0808
79,17.0912
80,17.0916
81,17.0732
82,17.0134
83,17.0674
84,17.0656
85,17.0519
86,16.9136
87,17.0829
88,17.0738
89,17.0671
90,17.0681
91,17.0725
92,17.0482
93,17.0523
94,17.0588
95,17.0489
96,17.0436
97,17.0774
98,17.0726
99,17.0274
