Epoch number,Elapsed Time
0,13.0909
1,13.0556
2,13.0840
3,13.0695
4,13.0811
5,13.0299
6,13.0775
7,13.0851
8,13.0356
9,13.0503
10,13.0721
11,13.0689
12,13.0230
13,12.9796
14,13.0285
15,13.0782
16,13.0992
17,13.0061
18,13.0863
19,13.0947
20,13.0876
21,13.0894
22,13.0838
23,13.0773
24,13.0942
25,13.0896
26,13.0849
27,13.0760
28,13.0865
29,13.0807
30,13.0725
31,13.0867
32,13.0643
33,13.0470
34,13.0660
35,13.0778
36,13.1003
37,12.9793
38,13.0978
39,13.0803
40,13.0351
41,13.0586
42,13.0760
43,13.0869
44,13.0841
45,13.0878
46,13.0775
47,13.0951
48,13.0870
49,13.0832
50,13.1105
51,13.0756
52,13.0816
53,13.0880
54,13.0746
55,13.0915
56,13.0892
57,13.0818
58,13.0794
59,13.0730
60,13.0663
61,13.0110
62,13.0483
63,13.0688
64,13.0271
65,13.0824
66,13.0586
67,13.0776
68,13.0822
69,13.0653
70,13.0715
71,13.0627
72,13.0905
73,13.0679
74,13.0605
75,13.0772
76,13.0616
77,13.0656
78,13.0890
79,13.0817
80,13.0783
81,13.0663
82,13.0869
83,13.0702
84,13.0046
85,13.0525
86,13.0852
87,13.0383
88,13.0908
89,13.0746
90,13.0529
91,13.0584
92,13.0617
93,13.0592
94,13.0681
95,13.0826
96,13.0782
97,13.0909
98,13.0720
99,13.0650
