Epoch number,Elapsed Time
0,6.3715
1,6.3882
2,6.3738
3,6.3692
4,6.3880
5,6.3870
6,6.3859
7,6.3834
8,6.3774
9,6.3606
10,6.3854
11,6.3418
12,6.3511
13,6.3790
14,6.3679
15,6.3736
16,6.3918
17,6.3395
18,6.3812
19,6.3901
20,6.3809
21,6.3715
22,6.4034
23,6.3987
24,6.4055
25,6.3954
26,6.3840
27,6.4000
28,6.3969
29,6.3838
30,6.3770
31,6.3687
32,6.3747
33,6.3724
34,6.4048
35,6.3973
36,6.3909
37,6.3875
38,6.3811
39,6.3736
40,6.3884
41,6.3879
42,6.3983
43,6.3908
44,6.3820
45,6.3843
46,6.3853
47,6.4328
48,6.3835
49,6.3831
50,6.3783
51,6.3900
52,6.3884
53,6.3756
54,6.3850
55,6.3830
56,6.3960
57,6.4060
58,6.3794
59,6.3705
60,6.3347
61,6.3987
62,6.3990
63,6.3998
64,6.4005
65,6.3488
66,6.3942
67,6.3904
68,6.3879
69,6.3917
70,6.3993
71,6.3864
72,6.3842
73,6.3836
74,6.3775
75,6.3734
76,6.3766
77,6.3884
78,6.3913
79,6.3902
80,6.3961
81,6.3804
82,6.3980
83,6.3980
84,6.4215
85,6.4054
86,6.3951
87,6.4008
88,6.3905
89,6.3818
90,6.3753
91,6.3898
92,6.3844
93,6.3806
94,6.3902
95,6.3754
96,6.3784
97,6.3678
98,6.3766
99,6.3762
