Epoch number,Elapsed Time
0,18.9853
1,18.8484
2,18.8787
3,18.8518
4,18.8675
5,18.8628
6,18.8461
7,18.8001
8,18.8444
9,18.8201
10,18.8142
11,18.7846
12,18.8252
13,18.8094
14,18.7991
15,18.8249
16,18.8258
17,18.7782
18,18.7913
19,18.7766
20,18.7656
21,18.7207
22,18.8030
23,18.7816
24,18.8315
25,18.7609
26,18.7984
27,18.7736
28,18.7652
29,18.7731
30,18.7705
31,18.7715
32,18.7816
33,18.7583
34,18.7576
35,18.7551
36,18.7599
37,18.7343
38,18.7469
39,18.7196
40,18.7211
41,18.7314
42,18.7660
43,18.7677
44,18.7306
45,18.7255
46,18.7421
47,18.7410
48,18.7389
49,18.7155
50,18.7163
51,18.7368
52,18.7359
53,18.7353
54,18.7467
55,18.7432
56,18.7406
57,18.6899
58,18.7604
59,18.7577
60,18.7086
61,18.7430
62,18.7493
63,18.7426
64,18.7768
65,18.8119
66,18.8231
67,18.8437
68,18.9062
69,18.8727
70,18.7648
71,18.7718
72,18.9002
73,18.7462
74,18.8767
75,18.8485
76,18.8212
77,18.8443
78,18.9002
79,18.8428
80,18.8718
81,18.7750
82,18.7498
83,18.8291
84,18.8836
85,20.7803
86,18.8820
87,18.8573
88,21.6902
89,18.6471
90,18.8005
91,18.8255
92,18.7984
93,18.7701
94,18.7654
95,18.7348
96,18.7304
97,18.7231
98,18.7354
99,18.7024
