Epoch number,Elapsed Time
0,11.3574
1,11.3616
2,11.3466
3,11.3540
4,11.3520
5,11.3490
6,11.3449
7,11.3474
8,11.3530
9,11.2979
10,11.3501
11,11.3585
12,11.2678
13,11.3308
14,11.3600
15,11.3440
16,11.3519
17,11.3465
18,11.3485
19,11.3419
20,11.3481
21,11.3529
22,11.3459
23,11.3740
24,11.3476
25,11.3475
26,11.3657
27,11.3505
28,11.3464
29,11.3413
30,11.3447
31,11.3723
32,11.3560
33,11.3412
34,11.4003
35,11.3580
36,11.3104
37,11.3504
38,11.3538
39,11.3066
40,11.2759
41,11.3655
42,11.3437
43,11.3580
44,11.3491
45,11.3424
46,11.3478
47,11.3537
48,11.3408
49,11.3343
50,11.3405
51,11.3595
52,11.3617
53,11.3470
54,11.3446
55,11.3549
56,11.3592
57,11.3453
58,11.3341
59,11.3359
60,11.3590
61,11.3624
62,11.3520
63,11.2984
64,11.3257
65,11.3351
66,11.3405
67,11.2246
68,11.3443
69,11.3282
70,11.3204
71,11.3438
72,11.3327
73,11.3322
74,11.3310
75,11.3323
76,11.3401
77,11.3359
78,11.3439
79,11.3327
80,11.3316
81,11.3337
82,11.3345
83,11.3354
84,11.3388
85,11.3349
86,11.3527
87,11.3389
88,11.3489
89,11.3451
90,11.2729
91,11.3478
92,11.3442
93,11.3433
94,11.2577
95,11.2992
96,11.3589
97,11.3417
98,11.3379
99,11.3317
