Epoch number,Elapsed Time
0,13.0890
1,13.1038
2,13.1187
3,13.1098
4,13.1106
5,13.1162
6,13.1015
7,13.0967
8,13.1014
9,13.1053
10,13.1040
11,13.1198
12,13.1122
13,13.0951
14,13.0731
15,13.0495
16,12.9589
17,13.1079
18,13.0766
19,13.0844
20,13.0951
21,13.0972
22,13.1002
23,13.0835
24,13.0718
25,13.0865
26,13.0920
27,13.0864
28,13.0882
29,13.1164
30,13.1053
31,13.0976
32,13.0871
33,13.0962
34,13.1013
35,13.1300
36,13.0937
37,13.0859
38,13.0033
39,13.0417
40,13.0251
41,13.0905
42,13.1019
43,13.1010
44,13.1011
45,13.1186
46,13.0956
47,13.0761
48,13.0740
49,13.0835
50,13.0874
51,13.1009
52,13.0902
53,13.0858
54,13.0756
55,13.0843
56,13.1032
57,13.0975
58,13.0996
59,13.0377
60,13.1014
61,13.0025
62,13.0777
63,12.9604
64,13.0419
65,13.0907
66,13.0818
67,13.0946
68,13.0950
69,13.1083
70,13.1038
71,13.0927
72,13.0971
73,13.0960
74,13.1108
75,13.1163
76,13.0911
77,13.0866
78,13.0820
79,13.0737
80,13.0740
81,13.0952
82,13.0752
83,13.0845
84,13.0513
85,13.0212
86,13.0740
87,12.9261
88,13.0668
89,13.0769
90,13.0676
91,13.0811
92,13.0674
93,13.0968
94,13.0925
95,13.0723
96,13.0636
97,13.0739
98,13.0821
99,13.0909
