Epoch number,Elapsed Time
0,20.8835
1,20.7951
2,20.8166
3,20.8846
4,20.6107
5,20.8833
6,20.8899
7,20.9807
8,20.9603
9,20.9547
10,20.8394
11,20.9101
12,20.9359
13,20.9628
14,20.8964
15,20.7864
16,20.9724
17,20.9857
18,20.9295
19,20.6714
20,20.9224
21,20.9260
22,20.9386
23,20.9262
24,20.9255
25,20.7806
26,20.9060
27,20.9133
28,20.9191
29,20.9252
30,20.8993
31,20.9094
32,20.8880
33,20.8816
34,20.6712
35,20.9316
36,20.9116
37,20.9014
38,20.8869
39,20.8938
40,20.7469
41,20.8918
42,20.8782
43,20.8840
44,20.8643
45,20.9002
46,20.8627
47,20.8524
48,20.7656
49,20.7645
50,20.8785
51,20.8858
52,20.8707
53,20.8803
54,20.7420
55,20.8236
56,20.8979
57,20.8859
58,20.8640
59,20.8727
60,20.8800
61,20.8719
62,20.8790
63,20.7274
64,20.8341
65,20.8790
66,20.8758
67,20.8948
68,20.8788
69,20.7667
70,20.8806
71,20.9058
72,20.8730
73,20.7194
74,20.6577
75,20.6898
76,20.6243
77,20.6713
78,20.5659
79,20.5764
80,20.5780
81,20.6554
82,20.6381
83,20.6598
84,20.5448
85,20.6732
86,20.6430
87,20.6604
88,20.6601
89,20.6751
90,20.6335
91,20.6401
92,20.6324
93,20.5151
94,20.5953
95,20.6392
96,20.6566
97,20.6498
98,20.6160
99,20.5904
