Epoch number,Elapsed Time
0,11.8007
1,11.7422
2,11.8269
3,11.7330
4,11.7991
5,11.7242
6,11.8029
7,11.7328
8,11.8022
9,11.7092
10,11.8100
11,11.7370
12,11.7756
13,11.6044
14,11.7788
15,11.7244
16,11.7991
17,11.7264
18,11.7969
19,11.7177
20,11.7880
21,11.7474
22,11.7944
23,11.7509
24,11.8015
25,11.6333
26,11.7974
27,11.7348
28,11.8160
29,11.7333
30,11.8275
31,11.7481
32,11.8054
33,11.7221
34,11.7983
35,11.7184
36,11.7927
37,11.7337
38,11.8021
39,11.5974
40,11.7686
41,11.7457
42,11.8300
43,11.7430
44,11.7956
45,11.7228
46,11.8022
47,11.7382
48,11.7946
49,11.7275
50,11.7957
51,11.6538
52,11.7878
53,11.7139
54,11.8144
55,11.7187
56,11.7880
57,11.7203
58,11.7938
59,11.7405
60,11.7843
61,11.7143
62,11.8032
63,11.7384
64,11.8020
65,11.6741
66,11.7158
67,11.7441
68,11.8016
69,11.7426
70,11.8142
71,11.7351
72,11.8076
73,11.7402
74,11.8230
75,11.7450
76,11.7959
77,11.6400
78,11.8230
79,11.7375
80,11.7895
81,11.7186
82,11.7886
83,11.7442
84,11.8046
85,11.7459
86,11.7985
87,11.7286
88,11.8137
89,11.7277
90,11.8170
91,11.7277
92,11.6392
93,11.7789
94,11.8392
95,11.8078
96,11.7743
97,11.7210
98,11.8262
99,11.7479
