Epoch number,Elapsed Time
0,15.0781
1,14.9392
2,14.8989
3,14.9260
4,14.9497
5,14.9233
6,14.9285
7,14.8846
8,14.9014
9,14.9223
10,14.9187
11,14.9001
12,14.9068
13,14.9066
14,14.8250
15,14.8258
16,14.9048
17,14.8990
18,14.8965
19,14.8857
20,14.8846
21,14.8796
22,14.8860
23,14.8769
24,14.9042
25,14.8960
26,14.8974
27,14.8957
28,14.8176
29,14.8821
30,14.8706
31,14.8768
32,14.8625
33,14.8702
34,14.8642
35,14.7703
36,14.8522
37,14.8641
38,14.8017
39,14.7634
40,14.7589
41,14.7309
42,14.8024
43,14.8534
44,14.8520
45,14.8468
46,14.8686
47,14.8740
48,14.8451
49,14.7949
50,14.8748
51,14.8471
52,14.8686
53,14.8622
54,14.8750
55,14.8624
56,14.7545
57,14.8268
58,14.8742
59,14.8677
60,14.8653
61,14.8529
62,14.8631
63,14.8522
64,14.8477
65,14.8688
66,14.8581
67,14.8861
68,14.8721
69,14.8058
70,14.8735
71,14.8564
72,14.8739
73,14.8689
74,14.8825
75,14.8499
76,14.8617
77,14.7170
78,14.8557
79,14.8518
80,14.8423
81,14.8446
82,14.8574
83,14.8472
84,14.8436
85,14.8485
86,14.8514
87,14.8711
88,14.8417
89,14.8528
90,14.7986
91,14.8373
92,14.8266
93,14.8310
94,14.8384
95,14.8219
96,14.8391
97,14.8264
98,14.7063
99,14.8392
