Epoch number,Elapsed Time
0,38.2527
1,38.1285
2,38.2368
3,38.1282
4,38.0852
5,38.0524
6,38.0500
7,38.0280
8,38.0115
9,38.0107
10,37.8915
11,38.0228
12,38.0272
13,38.1328
14,38.0688
15,38.1689
16,37.9806
17,38.0213
18,37.8984
19,38.0653
20,38.1272
21,38.1276
22,38.1439
23,38.1481
24,38.1373
25,38.1237
26,37.9386
27,38.0726
28,38.1144
29,38.1447
30,38.1034
31,38.0140
32,38.0134
33,38.4339
34,38.2801
35,38.3360
36,38.3613
37,38.4601
38,38.4364
39,38.3744
40,38.3785
41,38.2846
42,38.2728
43,38.3421
44,38.3724
45,38.3849
46,38.3607
47,38.3607
48,38.5014
49,38.4073
50,38.3952
51,38.2710
52,38.3842
53,38.5050
54,38.3450
55,38.4326
56,38.4024
57,38.5085
58,38.3694
59,38.3339
60,38.5516
61,38.4326
62,38.4964
63,38.4552
64,38.4554
65,38.5281
66,38.3493
67,38.3477
68,38.5198
69,38.4517
70,38.4394
71,38.4927
72,38.5361
73,38.4622
74,38.3900
75,38.2957
76,38.5079
77,38.4717
78,38.5187
79,38.4798
80,38.5099
81,38.4498
82,38.4227
83,38.2950
84,38.3951
85,38.5229
86,38.4967
87,38.4903
88,38.4272
89,38.3990
90,38.4444
91,38.2979
92,38.4163
93,38.4423
94,38.4794
95,38.4608
96,38.5127
97,38.3771
98,38.5044
99,38.3085
