Epoch number,Elapsed Time
0,50.8407
1,50.7217
2,50.5131
3,50.4053
4,50.3368
5,50.3558
6,50.3639
7,50.3231
8,50.2124
9,50.2382
10,50.0882
11,50.2363
12,50.2250
13,50.1853
14,50.1052
15,50.1359
16,49.9713
17,50.0912
18,50.0768
19,49.9712
20,49.9824
21,50.0389
22,49.9645
23,50.0903
24,50.1714
25,50.1754
26,50.0748
27,50.0767
28,49.9205
29,50.0840
30,50.0645
31,50.0359
32,50.0369
33,50.0588
34,50.0169
35,50.0741
36,50.0837
37,50.0840
38,50.0284
39,50.0865
40,50.1123
41,49.9863
42,50.1183
43,50.0825
44,50.0835
45,50.0664
46,50.1107
47,49.9475
48,50.1285
49,50.1157
50,50.0957
51,50.0240
52,50.1035
53,49.9536
54,50.0818
55,50.0638
56,50.0532
57,49.9970
58,50.0619
59,49.9248
60,50.0931
61,50.1177
62,50.1281
63,50.0503
64,50.1031
65,50.0059
66,50.0807
67,50.1725
68,50.1316
69,50.0385
70,50.0297
71,50.0791
72,49.9448
73,50.0932
74,50.0987
75,50.0043
76,50.0585
77,50.1207
78,49.9365
79,50.0756
80,50.1133
81,49.9846
82,50.0765
83,50.0621
84,49.9168
85,50.0659
86,50.0924
87,49.9924
88,50.1203
89,50.0551
90,49.9210
91,49.8968
92,49.8792
93,49.8735
94,49.9911
95,50.0102
96,49.9340
97,49.9270
98,49.9798
99,49.8827
