Epoch number,Elapsed Time
0,4.0545
1,4.0853
2,4.0948
3,4.0865
4,4.1331
5,4.1588
6,4.1249
7,4.0737
8,4.0978
9,4.0810
10,4.0900
11,4.0822
12,4.1099
13,4.0874
14,4.1196
15,4.1097
16,4.0936
17,4.1108
18,4.1262
19,4.0973
20,4.1504
21,4.0888
22,4.0992
23,4.1062
24,4.0733
25,4.0535
26,4.0933
27,4.0735
28,4.0958
29,4.1076
30,4.1002
31,4.1120
32,4.0962
33,4.1084
34,4.1223
35,4.1107
36,4.1119
37,4.0978
38,4.0751
39,4.0905
40,4.1098
41,4.1162
42,4.1299
43,4.1038
44,4.1103
45,4.1055
46,4.0803
47,4.0399
48,4.0291
49,4.0694
50,4.1181
51,4.1066
52,4.1465
53,4.1207
54,4.0919
55,4.1012
56,4.1103
57,4.1206
58,3.9830
59,4.1084
60,4.1306
61,4.1210
62,4.1124
63,4.0519
64,4.0662
65,4.0700
66,4.0686
67,4.0431
68,4.0549
69,4.0470
70,4.0892
71,4.1228
72,4.0888
73,4.0879
74,4.1083
75,4.1028
76,4.1433
77,4.1381
78,4.1487
79,4.0765
80,4.1876
81,4.2081
82,4.0766
83,4.0426
84,4.1117
85,4.0632
86,4.0939
87,4.0699
88,4.0321
89,4.0791
90,4.0509
91,4.0795
92,4.0520
93,4.0747
94,4.1785
95,4.2271
96,4.1302
97,4.0973
98,4.1102
99,4.1040
