Epoch number,Elapsed Time
0,17.4581
1,17.3319
2,17.4814
3,17.4687
4,17.3186
5,17.4053
6,17.4578
7,17.4472
8,17.3089
9,17.4431
10,17.5023
11,17.3930
12,17.3412
13,17.4627
14,17.4265
15,17.3472
16,17.4837
17,17.4995
18,17.3659
19,17.4777
20,17.4679
21,17.3652
22,17.5372
23,17.5223
24,17.3831
25,17.4579
26,17.4955
27,17.3383
28,17.4885
29,17.4627
30,17.3498
31,17.5070
32,17.4051
33,17.4023
34,17.4970
35,17.4646
36,17.4352
37,17.4659
38,17.3509
39,17.4154
40,17.4206
41,17.3641
42,17.4582
43,17.4425
44,17.3472
45,17.4245
46,17.4730
47,17.3687
48,17.4532
49,17.4019
50,17.3469
51,17.3972
52,17.4374
53,17.3744
54,17.3520
55,17.5068
56,17.4831
57,17.4095
58,17.3095
59,17.4734
60,17.4250
61,17.4002
62,17.4658
63,17.4433
64,17.3260
65,17.5108
66,17.4368
67,17.3788
68,17.3650
69,17.4765
70,17.4437
71,17.3833
72,17.4588
73,17.4285
74,17.5067
75,17.4225
76,17.4070
77,17.4050
78,17.4432
79,17.4373
80,17.4120
81,17.5007
82,17.3982
83,17.4105
84,17.5254
85,17.3126
86,17.4368
87,17.3973
88,17.3330
89,17.3868
90,17.3635
91,17.4292
92,17.4818
93,17.3391
94,17.3041
95,17.3663
96,17.4817
97,17.3784
98,17.4165
99,17.4641
