Epoch number,Elapsed Time
0,33.0524
1,33.0808
2,33.0320
3,32.9540
4,33.1283
5,32.9698
6,33.0855
7,33.0181
8,32.9139
9,32.8947
10,32.9250
11,48.0397
12,33.0660
13,33.1348
14,32.8896
15,32.9719
16,32.9457
17,32.8782
18,33.1706
19,32.8998
20,33.0338
21,33.1423
22,33.0814
23,32.9787
24,33.1290
25,32.9863
26,32.8862
27,33.0472
28,32.7082
29,33.0835
30,32.8813
31,33.1038
32,32.8406
33,33.0947
34,32.8474
35,32.9038
36,33.0220
37,32.8192
38,33.0012
39,32.8338
40,33.2341
41,33.5241
42,33.3827
43,33.5245
44,33.2961
45,33.2787
46,33.3369
47,33.2316
48,33.6703
49,33.6757
50,33.4275
51,33.1247
52,33.1072
53,33.2277
54,33.0562
55,33.1164
56,33.1527
57,33.1926
58,33.1163
59,33.1562
60,33.2579
61,33.0239
62,33.2621
63,32.9359
64,33.1860
65,33.1745
66,33.0736
67,33.1949
68,33.0857
69,33.3005
70,33.1071
71,33.1434
72,33.2410
73,33.2595
74,33.0590
75,33.1303
76,33.1206
77,33.3439
78,33.0801
79,33.3581
80,33.2651
81,33.1808
82,33.2736
83,33.2249
84,33.2087
85,33.3086
86,33.2140
87,33.2904
88,33.2485
89,33.1794
90,33.3344
91,33.0947
92,33.2525
93,33.2390
94,33.0626
95,33.0125
96,33.0894
97,33.3470
98,33.1855
99,33.2725
