Epoch number,Elapsed Time
0,21.0665
1,20.5373
2,20.5062
3,20.6205
4,20.5736
5,20.5906
6,20.5244
7,20.5292
8,20.4105
9,20.4946
10,20.4766
11,20.4694
12,20.4746
13,20.4798
14,20.4539
15,20.4603
16,20.4484
17,20.3761
18,20.4433
19,20.4415
20,20.4798
21,20.4430
22,20.4480
23,20.3013
24,20.3939
25,20.4664
26,20.2998
27,20.4640
28,20.3994
29,20.3674
30,20.3854
31,20.3983
32,20.3998
33,20.3982
34,20.4035
35,20.3973
36,20.5059
37,20.5532
38,20.3507
39,20.4660
40,20.4395
41,20.3408
42,20.4508
43,20.4103
44,20.3696
45,20.5416
46,20.5184
47,20.5420
48,20.5128
49,20.4189
50,20.2855
51,20.4903
52,20.5067
53,20.3872
54,20.7440
55,20.6793
56,20.4650
57,20.6630
58,20.7157
59,20.4529
60,20.4287
61,20.5259
62,20.4557
63,20.4205
64,20.6406
65,20.5265
66,20.3186
67,20.5141
68,20.5259
69,20.1994
70,20.4050
71,20.4408
72,20.3376
73,20.3115
74,20.3450
75,20.3103
76,20.2543
77,20.2402
78,20.2064
79,20.2814
80,20.2908
81,20.3258
82,20.4019
83,20.3664
84,20.3185
85,20.3982
86,20.4027
87,20.3720
88,20.3958
89,20.3845
90,20.3720
91,20.3760
92,20.3754
93,20.3591
94,20.3888
95,20.3521
96,20.4113
97,20.3373
98,20.2619
99,20.2885
